仕入先,部位,仕入単価(円/kg・税抜),出典
エゾの杜,レバー,2500.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,ロース,5600.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,ヒレ,4200.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,シンタマ,3700.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,内モモ,3900.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,外モモ,3500.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,ランプ,2700.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,カタ,2700.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,ネック,1700.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,スネ,2000.0,鹿肉仕入価格順位表 20260722版
知床（養鹿）,ミンチ,1900.0,鹿肉仕入価格順位表 20260722版
阿寒,ロース,4500.0,鹿肉仕入価格順位表 20260722版
阿寒,カタ,3300.0,鹿肉仕入価格順位表 20260722版
阿寒,スネ,2500.0,鹿肉仕入価格順位表 20260722版
阿寒,ミンチ,2000.0,鹿肉仕入価格順位表 20260722版
